company,closing_stock_price,sector,popularity_score
Nimbus,394.69,government hardware,6
Echo,144.81,consumer software,6
Lumen,548.9,government software,10
Glide,33.14,consumer software,2
Xeno,688.0,consumer software,6
Pinnacle,804.49,government hardware,3
Crystal,488.03,consumer hardware,3
Matrix,705.76,consumer software,6
Fusion,699.45,government software,9
Yield,464.69,government hardware,10
Ember,322.72,consumer hardware,4
Dusk,815.14,consumer hardware,3
Pinnacle,26.98,consumer hardware,2
Zenith,489.69,government hardware,4
Jade,27.03,government hardware,1
Lumen,531.31,consumer software,2
Omega,116.36,government hardware,9
Nimbus,67.28,consumer software,2
Ion,444.36,government hardware,3
Nimbus,771.15,government hardware,8
Granite,437.43,consumer software,2
Flicker,179.96,consumer hardware,1
Lucid,256.42,consumer hardware,10
Granite,427.15,consumer software,9
Lucid,372.35,consumer hardware,6
Blaze,291.18,government hardware,2
Helix,872.49,consumer hardware,10
Nova,519.27,consumer software,1
Knack,558.36,consumer software,9
Dusk,706.42,government software,10
Halo,195.76,government software,5
Dusk,282.42,consumer hardware,4
Element,178.97,consumer software,3
Sonic,389.04,consumer software,9
Pulse,178.73,consumer hardware,5
Jade,130.54,government hardware,7
Pulse,224.83,government hardware,10
Lyric,300.59,government software,1
Pulse,940.43,consumer hardware,1
Umbra,319.74,consumer software,4
Crystal,75.16,consumer hardware,5
Nimbus,207.1,government software,1
Knack,462.33,government hardware,3
Vivid,32.89,government hardware,3
Umbra,341.04,government hardware,10
Zenith,243.56,government hardware,5
Lucid,708.54,government hardware,7
Jade,571.13,consumer hardware,3
Vivid,874.12,government software,2
Vortex,87.68,government hardware,5
Radiant,863.4,government hardware,10
Flicker,130.09,consumer software,10
Vertex,360.88,consumer software,4
Quantum,670.95,consumer software,7
Zephyr,865.81,consumer software,5
Radiant,196.64,consumer software,2
Ion,827.16,consumer hardware,10
Ink,819.38,government hardware,3
Forge,458.23,government hardware,8
Granite,123.28,government software,4
Ember,643.29,consumer software,5
Lyric,604.51,consumer hardware,1
Glow,503.82,government software,7
Halo,150.15,consumer hardware,10
Lyric,420.26,consumer hardware,1
Sonic,732.61,consumer hardware,1
Ink,988.75,government software,8
Zenith,655.76,consumer software,1
Granite,158.84,consumer software,5
Zephyr,221.45,government hardware,7
Pixel,866.82,consumer hardware,6
Matrix,150.81,government hardware,1
Matrix,518.85,consumer hardware,10
Crystal,192.53,government hardware,9
Omega,679.72,government hardware,2
Drift,737.03,consumer hardware,3
Orbit,416.25,government software,8
Yield,965.61,government software,3
Quantum,215.26,consumer hardware,6
Vivid,43.79,consumer software,4
Blaze,665.13,government hardware,1
Lumen,592.33,government hardware,5
Aether,992.17,consumer hardware,5
Wisp,982.26,government software,4
Omega,390.82,consumer hardware,7
Dusk,936.93,consumer software,3
Xeno,353.3,consumer hardware,5
Element,523.58,consumer software,6
Wisp,106.45,consumer hardware,9
Vertex,464.99,consumer hardware,2
Glide,924.56,government software,8
Jolt,479.8,government hardware,4
Ember,111.13,government hardware,8
Summit,921.86,government software,3
Wisp,500.26,consumer hardware,6
Vivid,156.68,government hardware,3
Blaze,229.54,government software,8
Flicker,942.28,consumer software,4
Drift,613.72,consumer software,8
Nimbus,430.19,consumer hardware,1
Cobalt,804.65,government hardware,5
Cobalt,581.75,consumer hardware,1
Titan,888.55,government hardware,10
Jolt,525.0,government hardware,8
Yield,549.78,government hardware,1
Lyric,541.3,consumer software,2
Ink,674.27,consumer software,9
